,Tweets,Subjectivity,Polarity,Analysis
0,"We’re live talking about the recent crypto crash! 

",0.375,0.06818181818181818,Positive
1,"JUST IN:  just bought  9258 for 79.5 ETH ($200,401) a deal facilitated by .” 

Source:  ",0.0,0.0,Neutral
2,"Are you buying, selling or holding? 🤨 ",0.0,0.0,Neutral
3,Which altcoin do you believe will make you the most money in 2022? 🧐,0.5,0.5,Positive
4,SHINJA is trending,0.0,0.0,Neutral
5,"11 years ago, a StarCraft competition awarded its 5th-8th place, 25 Bitcoin each! 

Which was worth only $41, today it’s worth over $880,000 🤯 ",0.4000000000000001,0.19999999999999998,Positive
6,JUST IN: Francis Ngannou will receive half of his bonus in Bitcoin ($300k) following his victory in the UFC270 Heavyweight Championship last night. 💥🥊 ,0.1111111111111111,-0.05555555555555555,Negative
7,"Your daily reminder that inflation has reached 7%, the highest the United States has seen in 40 years.",0.0,0.0,Neutral
8,What are your thoughts on NFTs?,0.0,0.0,Neutral
9,"Shiba Inu Price Prediction 🧐🐕

",0.0,0.0,Neutral
0,": Who will list BABYDOGE first? 🤔

    👇                     👇                     👇
         ",0.3333333333333333,0.25,Positive
1,": BinanceSmartChain is trending 👀

What are you people up to? 🤔 ",0.0,0.0,Neutral
2,"🚀🚀We invite everyone to suggest your favorite CEX for upcoming listing team Kikswap appreciate your time and feedback. 🦊🦊

Comment below 👇👇

Kikswap BSCS BNB BinanceSmartChain   memecoins ShibaInuCoin Dogecoinarmy FLOKI DogecoinToTheMoon",1.0,0.5,Positive
3,"Kikswap on coinbase 🚀💪🚀💪





Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon",0.0,0.0,Neutral
4,"Check it out kikswap on nomics!



Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon",0.0,0.0,Neutral
5,"Kikswap listed on  price chart!



Stak here:  and enjoy impressive reward!!

Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon",0.75,0.7,Positive
6,"Kikswap is listed on CoinmarketCap!

Don't forget to vote on CMC


Stak here:  and enjoy impressive reward!!

Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon ",0.75,0.7,Positive
7,"Kikswap is listed on coingecko!

Don't forget to vote


Stak here: 

Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon ",0.0,0.0,Neutral
8,": 🆕 New CoinGecko Listing: $KIK 
",0.45454545454545453,0.13636363636363635,Positive
9,": 🆕 New CoinMarketCap Listing: $KIK 
📋 Contract: BSC, BNB
",0.45454545454545453,0.13636363636363635,Positive
0,: Graffiti art at Giga Berlin ,0.0,0.0,Neutral
1, Great wisdom,0.75,0.8,Positive
2,Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?,0.0,0.0,Neutral
3, 🤣,0.0,0.0,Neutral
4,This is annoying ,0.9,-0.8,Negative
5,"  This is a hard thing for us to do right now, as we don’t have enough satellites with laser links and there are already geo sats that serve the Tonga region. That is why I’m asking for clear confirmation.",0.4901785714285714,0.023511904761904758,Positive
6,"_kerle   Yeah, this saves a whole tap. Just swipe down for auto navigate.",0.34444444444444444,0.022222222222222213,Positive
7, Could people from Tonga let us know if it is important for SpaceX to send over Starlink terminals?,1.0,0.4,Positive
8, wtf,1.0,-0.5,Negative
9, An SUV that is faster than a Formula 1 race car ,0.0,0.0,Neutral
0,": Just Suscribe fill all details and put your Usdt Wallet from Binance to withdraw money and start
checking videos on YouTube c…",0.0,0.0,Neutral
1,"Bark if you're holding more than 2+ Million! 👇

🗣️WOOF! $SHIB",0.5,0.78125,Positive
2,Current $SHIB Price: $0.00002145,0.4,0.0,Neutral
3,Always HODL never give up stay strong. SHIB to the moon🌙✨,0.7333333333333333,0.4333333333333333,Positive
4, 👀,0.0,0.0,Neutral
5,"📣  will be giving out 5000USDT to 5 lucky winners. 

Join their discord to participate. 



Minting is ongoing visit  

Follow  ",0.8333333333333334,0.3333333333333333,Positive
6,"Are you going to hold $SHIB past $0.001 dollars? 👀

(YES)             (YES)            (YES)                          
  👇                  👇",0.25,-0.25,Negative
7,"Starship Mars $SSM is a DAO organization co-founded by Mr. Musk's global starship fans.
They'ave been preparing for this for over a month, which is very much expected!

🚀BSC CA: 0xb49258dAE0192A038f38Cf163E64FC190Bf59C99

🇺🇸TG: 
🌐  ",0.2,-0.0625,Negative
8, 🗣️WOOF!,0.0,0.0,Neutral
9,Good Morning SHIB 🚀✨,0.6000000000000001,0.7,Positive
0,: NEWS UPDATE:  reports network issue due to excessive transactions. ,0.6875,-0.1875,Negative
1,"This week — will tell us all. 

I’m ready for this rollercoaster.",0.5,0.2,Positive
2,,0.0,0.0,Neutral
