,Tweets
0,"Crypto Market Strength

Swing - 2.43%
😨 ■□□□□□□□□□ 😄

Dominance Weighted - 1.64%
😨 ■□□□□□□□□□ 😄

Unweighted - 3… "
1, DON'T INVEST WHAT YOU ARE NOT PREPARED TO LOSE. Facebook crypto ads are SCAMs. Crypto is NOT a market to g… 
2,"  This will be BossArmy view when our Token hits the $10BILLION Market Cap. 

$BOSS

The B… "
3, _Fazel You must see this  site before  they close free entry ! They give best crypto signals  in su… 
4,"    avoided paying taxes, while crashing the crypto market numerou… "
5,_LP curve looks like the crypto-market .🤣🤣$ADA $Bitcoin $ETH $XRP
6,   Whole market is shit right now but when it rebounds $QRDO will recover f… 
7, Hec will be just fine.  It's just the fear of the market... hodl... get your staking rewards and breathe!!!
8, In agreement. Market has everything priced in. Anticipating faster taper for rate hike in Mar. Hed… 
9,  Crypto market
10, When you see the crypto market rising after you invest in it
11, Footnote: the FED Put is what stops the market from collapsing. The idea the FED will ride to the rescue w… 
12,I joined KYRREX’s PreSale and am looking forward to trading KRRX tokens on HitBTC – a leading exchange in the crypt… 
13,"Of course its insane to claim there is no market for decentralization when the ""extreme"" decentralized assets repre… "
14, This crash for crypto or the market market 😂
15, I agree. Imagine an offramp from DeFi/Crypto to the stock market.
16,each passing day in the crypto vc market pushes me more &amp; more to reconsider not being an entrepreneur
17,"show some love for @_chicocrypto - he's having a tough time, we all are.  The market is suckin right now, time to l… "
18,"Crypto Top 5 by Market Cap

$BTC Bitcoin $47,168.00 (891.83B) (+1.06%)
$ETH Ethereum $3,791.55 (449.83B) (+1.07%)… "
19, That is the bad of crypto market. No the volatily.
20,"_Crypto We are in a bear market.
Sell all your bags."
21, What the future of the crypto market will look like
22,"no longer discussing cool projects in my crypto group chats.

now they just teaching me how to cook.

is this what the bear market is?"
23,"Stock Market Top Actives ⇆

Ticker · Price · Change · Change(%)

$CEI           1.04$    0.00$    0.01%
$F… "
24,IX Swap will be the FIRST platform to provide liquidity pools and automated market-making functions for the STO/TSO… 
