,Tweets
0,"#Crypto #Market #Strength

#Swing - 2.43%
😨 ■□□□□□□□□□ 😄

Dominance Weighted - 1.64%
😨 ■□□□□□□□□□ 😄

Unweighted - 3… https://t.co/kTMBQcNZKb"
1,@CBCNews DON'T INVEST WHAT YOU ARE NOT PREPARED TO LOSE. Facebook crypto ads are SCAMs. Crypto is NOT a market to g… https://t.co/Ue6cQ5DTnx
2,"@Ralvero @OfficialTravlad This will be #BossArmy view when our Token hits the $10BILLION Market Cap. 

$BOSS

The B… https://t.co/eoGGBUVhzA"
3,@T1000003 @Cyrus_Fazel You must see this  site before  they close free entry ! They give best crypto signals  in su… https://t.co/m82g9Jcodq
4,"@BillSelznick @JDCocchiarella @lenecolbert @elonmusk avoided paying taxes, while crashing the crypto market numerou… https://t.co/VAPVeZgetT"
5,@efadi_LP curve looks like the crypto-market .🤣🤣$ADA $Bitcoin $ETH $XRP
6,@yaghmour0 @Sherwoodcapita1 @StaniKulechov Whole market is shit right now but when it rebounds $QRDO will recover f… https://t.co/ZBQNifpWXl
7,@PanthroCrypto Hec will be just fine.  It's just the fear of the market... hodl... get your staking rewards and breathe!!!
8,@stephenharlinmd In agreement. Market has everything priced in. Anticipating faster taper for rate hike in Mar. Hed… https://t.co/14bfV19UWe
9,@AstroGann33 @YouTube Crypto market
10,@PrimeVideoIN When you see the crypto market rising after you invest in it
11,@koloini Footnote: the FED Put is what stops the market from collapsing. The idea the FED will ride to the rescue w… https://t.co/aq7L9dYw9N
12,I joined KYRREX’s PreSale and am looking forward to trading KRRX tokens on HitBTC – a leading exchange in the crypt… https://t.co/mUjpeUDMtu
13,"Of course its insane to claim there is no market for decentralization when the ""extreme"" decentralized assets repre… https://t.co/qbzJmyEvUf"
14,@PatrickAbiSaber This crash for crypto or the market market 😂
15,@mikulaja I agree. Imagine an offramp from DeFi/Crypto to the stock market.
16,each passing day in the crypto vc market pushes me more &amp; more to reconsider not being an entrepreneur
17,"show some love for @_chicocrypto - he's having a tough time, we all are.  The market is suckin right now, time to l… https://t.co/WjyAhowktb"
18,"#Crypto Top 5 by Market Cap

$BTC Bitcoin $47,168.00 (891.83B) (+1.06%)
$ETH Ethereum $3,791.55 (449.83B) (+1.07%)… https://t.co/NHenZPDIjn"
19,@intocryptoverse That is the bad of crypto market. No the volatily.
20,"@Bitboy_Crypto We are in a bear market.
Sell all your bags."
21,@alanambyth What the future of the crypto market will look like
22,"no longer discussing cool projects in my crypto group chats.

now they just teaching me how to cook.

is this what the bear market is?"
23,"Stock Market Top Actives ⇆

Ticker · Price · Change · Change(%)

$CEI           1.04$    0.00$    0.01%
$F… https://t.co/tdHADtltt6"
24,IX Swap will be the FIRST platform to provide liquidity pools and automated market-making functions for the STO/TSO… https://t.co/qh1eQvSXxg
