,Tweets,Subjectivity,Polarity,Analysis
0, This is the revolution in medicine,0.0,0.0,Neutral
1,  Yeah :),1.0,0.5,Positive
2," No stylist, no makeup either haha",0.3,0.2,Positive
3, Lori did a lot of good,0.6000000000000001,0.7,Positive
4, That is how I feel about myself! Oh wait …,0.0,0.0,Neutral
5,_avoigt Very hard,0.7041666666666666,-0.3791666666666667,Negative
6, Yup,0.0,0.0,Neutral
7, _munro Munro rocks!,0.0,0.0,Neutral
8,Tesla will make some merch buyable with Doge &amp; see how it goes,0.0,0.0,Neutral
9, Thanks,0.2,0.2,Positive
0,"Is True Decentralization Even Possible?

We take a deep dive into Curve Finance, Curve Wars &amp; Mochi Inu and find out how it is possible tune in 👇
 ",0.7625,0.0875,Positive
1,  Congratulations! 🎉 🥳 ,0.0,0.0,Neutral
2,🤔,0.0,0.0,Neutral
3,"When you say “we’re so early”, are you talking about the tech or the price?",0.3,0.1,Positive
4,"Tryvium Travels, the most advanced crypto travel ecosystem, offers a 10% discount voucher for booking accommodation choosing among more than 100,000 destinations around the world. 

CoinMarketCap users can purchase the ""10% Coupon"" by 200 Diamonds here!👇
 ",0.4,0.375,Positive
5,"In the crypto universe, knowledge is key. The sooner you get hold of it, the better your chances are to make a fortune. 

Learn how to read candlesticks to predict the price movements of coins.👇 
",0.75,0.25,Positive
6,"CoinMarketCap takes a deep dive into KishuInu ( KISHU ), a community-based memecoin that offers unique rewards and NFTs to its users.

 
",0.4666666666666666,0.15833333333333333,Positive
7,"ICYMI: Bitcoin Just Hit a Major Milestone — Here's Why 😮 

A total of 18.9 million BTC has now been discovered, with 2.1 million BTC left to find between now and 2140.

More details👇
 ",0.4375,0.140625,Positive
8,"CoinMarketCap takes a deep dive into the  Fan Token (AFC), the London-based football club token, which has several perks in store for the Gunners' global fan base.

",0.35,-0.2,Negative
9, ,0.0,0.0,Neutral
0,Make haste! The Finance Ministry of Cyprus has called to accelerate its capacity building for crypto. ,0.0,0.0,Neutral
1,"DeFi is the scary monster in the room, according to Elizabeth Warren. Some are worried that a run on stablecoins could severely damage the DeFi market. 

Senator Warren didn't exactly articulate that worry as eloquently. ",0.625,-0.125,Negative
2,Bitcoin company _BTC is bringing out the big guns and securing an astounding $1B in funding. The investment will be used to further develop the reach of their financial services. ,0.4,0.15,Positive
3,"Will Cardano be spending Christmas with the bulls? 

ADA could rally 30% in the coming days if it follows a classic bullish setup. ",0.16666666666666666,0.16666666666666666,Positive
4,"$1,000 of MANA in the summer of 2020 would be worth over $30,000 today. Kudos to anyone that saw the Metaverse trend before it boomed!  ",0.1,0.375,Positive
5,Mintable integrates with Immutable X to enable users to trade gas free and carbon neutral NFTs ,0.8,0.4,Positive
6,"Decentralized oracle service Umbrella Network officially launched on Ethereum on Friday, setting the stage for cross-chain transactions between the dominant smart contract platform and Binance Smart Chain. ",0.6428571428571429,0.21428571428571427,Positive
7,"Coinbase Wallet will soon be able to support NFTs, giving users the ability to view their digital collectibles and access NFT marketplaces like OpenSea. ",0.3125,0.25,Positive
8,Senator Warren has often used hearings to claim cryptocurrencies are largely tied to illegal activities ,0.4642857142857143,-0.14285714285714285,Negative
9,"Good news for  fans. 

Tascombank, one of the oldest commercial banks in Ukraine, is launching a Stellar-based pilot for Ukraine's national fiat currency, the hryvnia. 

(Reporting via )",0.30000000000000004,0.35,Positive
0,": On December 10, we experienced a service disruption that resulted in an exchange outage. During that downtime, all our c…",0.9,0.8,Positive
1,  Can you contact  about this? Thank you!,0.0,0.0,Neutral
2,  Can you contact  about this? Thank you!,0.0,0.0,Neutral
3,  Can you contact  about this? Thank you!,0.0,0.0,Neutral
4,  Can you contact  about this? Thank you!,0.0,0.0,Neutral
5,   Can you contact  about this? Thank you!,0.0,0.0,Neutral
6,"_me_edwiin  Hi there, can you please PM  for help with this.",0.0,0.0,Neutral
7,: Resolved: We have restored trading on Mobile and Retail Web UI and are now fully operational. Thank you for your patienc…,0.0,0.0,Neutral
8,: Resolved: We have restored trading on ActiveTrader and API with all trading books re-opened in limit only mode. Mobile a…,1.0,0.0,Neutral
9,: Identified: Our team is performing final checks to ensure all systems are stable before re-opening the platform. Thank y…,1.0,0.0,Neutral
0, Finally. The sub-25 orgy rule and was suffocating.,0.75,-0.25,Negative
1,: You can now short NFTs.,0.3,0.0,Neutral
2,": “We’ve already seen… instances where something becomes a meme stock and the options dealers, the market makers… increase…",0.0,0.0,Neutral
3, Careful. You're gonna get your shit banned for bringing that up.,0.9,-0.15000000000000002,Negative
4,:  is Live on !!! Come join us: ,0.5,0.26633522727272724,Positive
5, I use a random tweet generator,0.5,-0.5,Negative
6,"Bitcoin is the true victim of inflation here, the cost went up like 76% this year while the cost of other stuff only went up 6.8%",0.51875,0.03749999999999999,Positive
7,": 🥳 Congratulations to the  team for a successful IDO on NFTb &amp; to everyone who has bought $WSB!

Both public &amp; priva…",0.5083333333333333,0.46875,Positive
8,  Now do NFTs,0.0,0.0,Neutral
9,NFTb Joins with WallStreetBets Dapp for Partnership ,0.0,0.0,Neutral
0,"NEW token listed on Kraken: $LUNA _money 🌕 

Deposits begin NOW! Trading is live December 16th ✨

➡️  Learn more:  ",0.48484848484848486,0.2689393939393939,Positive
1,"Ethereum 2.0 will bring three major upgrades to the Ethereum blockchain:

✨ Proof-of-Stake (PoS)
✨ Ethereum Sharding
✨ ETH 2.0 Beacon Chain

Learn about ETH2:  ",0.5,0.0625,Positive
2,"🐳 Although there were more $BTC whales at the end of November than when the month started, whale holdings dropped in November. 

Find out what this means for BTC in this month’s report:  ",0.5,0.5,Positive
3,"Buzz around the Metaverse sparked a major run-up in NFTs last month, according to a Kraken Intelligence report. Find out more here 👇
",0.35555555555555557,0.1875,Positive
4,"Kraken is excited to welcome Pranesh Anthapur as our new Chief People Officer!

Pranesh will head the development of Kraken’s global people strategy ensuring we’re fit for the future as we look to more than double our staff to over 5000 in 2022.

 ",0.3911931818181818,0.2806818181818182,Positive
5,"It’s not just degens &amp; apes interested in  parachains!

There’s an 800 pound gorilla 🦍 with a seven figure investment in .

Watch now:  DOT $DOT ",0.5,0.3125,Positive
6,☃️ What cryptocurrencies are you trading this week?,0.0,0.0,Neutral
7,📊  CEO Sui Chung joins  on  to discuss key takeaways from the Kraken Intelligence report. ,1.0,0.0,Neutral
8,💙 if you’re not selling,0.0,0.0,Neutral
9,"📱 Learn how to buy $KSM, the crypto asset that powers :  ",0.0,0.0,Neutral
0,"WHAT A YEAR!

2021 has been a huge year for crypto. Join  and special guests  and  for an end-of-year recap and a discussion about what the future might hold.

The last BUIDLCrypto of the year starts now👇",0.41577380952380955,0.1892857142857143,Positive
1,"✅ More networks
✅ DEX trading
✅ NFTs
❌ Hassle

It’s web3 unlocked. Read about it in our newest blog post👇
",0.5,0.5,Positive
2,"✨NEW Countries added and eligible today include👇

Australia
Benin
Bolivia
Burkina Faso
Cameroon
Chile
Czechia
Denmark
Ecuador
El Salvador

See all eligible countries here👇",0.0,0.0,Neutral
3,How to ease off the gas with . CoinbaseWallet ,0.0,0.0,Neutral
4, This has us over the moon💫,0.0,0.0,Neutral
5,"Users can log in to buy, sell, convert, send, receive, or store this asset at  and in the Coinbase iOS and Android apps.",0.0,0.0,Neutral
