,Tweets,Subjectivity,Polarity,Analysis
0, Having to tip the guy who fills up your car in places that require full service.,0.55,0.35,Positive
1,"Lol this was not a photoshop. Here's the link to the actual article. 
",0.39999999999999997,0.4,Positive
2,The world's most successful quant switches to meme investing after prized Medallion Fund breaks. ,0.725,0.625,Positive
3,"Latest bullish additions to my collection:

_eggs
_io


what am I missing?",0.47500000000000003,0.15,Positive
4,: A Tesla to someone in a crosswalk,0.0,0.0,Neutral
5,  That's like saying your car has a V8 engine and a tank full of gas but then asking why the headlight is out.,0.55,0.35,Positive
6,"My Diamond Hands NFT got the the OG makeover. Plus I got a sneak peak at the bulls (claimable by diamond hands owners), and they're unreal. Artist  is a true prodigy.
",0.65,0.35,Positive
7, There's a couple of central exchanges that are easy. Bridge across networks is incoming.,0.5416666666666667,0.21666666666666667,Positive
8,": While you lost money this week Nancy Pelosi was up 35%

",0.0,0.0,Neutral
9, token continues to deliver on promises of utility and value. ,0.0,0.0,Neutral
0," Accept worst case outcome &amp; assign it a probability, which is usually very low. Now think of good things in life &amp; assign them probabilities – many are certain!

Bringing anxiety/fear to the conscious mind saps it of limbic emotional strength.

Cheery fatalism is very effective.",0.6901587301587302,0.22753968253968251,Positive
1,"  Limiting factor for first launch is regulatory approval. Thereafter, fundamental issue is solving engine production.

Prototypes are easy, production is hard.",0.5694444444444445,0.13055555555555556,Positive
2,"_Gardi True, although it will look clean with close out panels installed. 

Raptor 2 has significant improvements in every way, but a complete design overhaul is necessary for the engine that can actually make life multiplanetary. It won’t be called Raptor.",0.6208333333333333,0.19861111111111115,Positive
3,12 million pounds of thrust at liftoff ,0.0,0.0,Neutral
4,"  Indeed. Over time, Tesla will generate hundreds of billions for the government in terms of employee income tax, product sales tax and property tax, in addition to profit taxation.",0.0,0.0,Neutral
5, Accurate thread,0.6333333333333334,0.4000000000000001,Positive
6,    We are waiting for permit approval from Santa Monica,0.0,0.0,Neutral
7,     I like to dig my grave real deep 🤣🤣,0.6000000000000001,0.0,Neutral
8,    Exactly,0.25,0.25,Positive
9, Burry is a broken clock,0.4,-0.4,Negative
0,"Review of Optimism retroactive funding round 1, an exciting new mechanism-design experiment which distributed $1 million among 58 Ethereum ecosystem public-good projects in recognition of their good work for the ecosystem so far.

",0.650909090909091,0.20727272727272728,Positive
1,"An introduction to some of the cryptographic techniques used in Halo (going into Zcash) and other recent protocols. No pairings, no trusted setups!

",0.3125,-0.0625,Negative
2,"Crypto cities!

",0.0,0.0,Neutral
3,"A new account abstraction proposal! This time without requiring any ethereum consensus-layer protocol changes.

Work by , , Dror Tirosh, Namra Patel, , myself and others.

",0.45454545454545453,0.17045454545454544,Positive
4,"Responding to (and largely agreeing with) Nathan Schneider 's piece on blockchain governance and moving beyond financialization:



Also a good opportunity to expand on the language of collusion prevention.",0.5142857142857143,0.45714285714285713,Positive
5,": It's here...

Our new  episode w/ 

We discussed:

- Why coin voting sucks
- How high TPS chains…",0.43151515151515146,-0.0012121212121212106,Negative
6,": Hey everyone, I'm starting a podcast!

I'll be hosting conversations around the ideas shaping crypto.

The first episode is wi…",0.21666666666666667,0.125,Positive
7,"We need to move NFTs onto the layer 2 ecosystem to cut fees. However, doing that *right* requires good cross-rollup portability standards, so the ecosystem can avoid getting locked into one particular L2.

I make a cross-rollup portability proposal here:

",0.48968253968253966,0.3841269841269841,Positive
8," Not related to longevity research specifically, but I think artificial wombs are under-loved as a potential techno-feminist rallying point. Would be great for fertility and gender equality at the same time.",0.655,0.040000000000000015,Positive
9,"  DAI/RAI-like stablecoins will be fine imo! It's all these new me-too VC-funded ""innovations"" at making stablecoins more ""capital-efficient"" or whatever that keep breaking and will keep breaking more.",0.48863636363636365,0.41429924242424243,Positive
0,"Today marks the 10 year anniversary of my first public mention of Bitcoin, and of the day Satoshi disappeared. ",0.19999999999999998,0.125,Positive
1,"Securities laws are outdated. 
Needing a license to issue a security token in 2021 is just as dumb as needing a licence to setup a website in 2001.",0.5666666666666667,-0.38750000000000007,Negative
2,"It took about a decade for crypto to grow to a market cap of $1 trillion, but  took just one quarter to add another trillion.",0.0,0.0,Neutral
3,"There is no inflation they say....
 ",0.0,0.0,Neutral
4,"Soon everyone will realize that the one megabyte block size limit on BTC was a mistake. Once everyone realizes it, everyone will pretend that they knew it the whole time. BitcoinCash",0.4,0.2,Positive
5,Today’s Bitcoin and BitcoinCash fees: ,0.0,0.0,Neutral
6,"""when you give people freedom, you don’t know what they’ll do with it."" - _Ross",0.0,0.0,Neutral
7,"Rather than following sheep, think for yourself.",0.1,0.0,Neutral
8,Renouncing your US citizenship is the most American thing you can do: ,0.25,0.25,Positive
9,: Bitcoin has a 40% drop in hashpower because a Chinese mining pool went offline? $BTC fees are skyrocketing to $40 per trans…,0.0,0.0,Neutral
0, Kapan pengumuman pemenang hadiah bulanan Program Isi Pulsa Telkomsel ya untuk bilan Januari?,0.0,0.0,Neutral
1,I made $399 today check out how I made it! ,0.0,0.0,Neutral
2,I made $736 today working a few hour from home ! ,0.1,-0.25,Negative
3,muhahaha check this out lol xDDDDDDD ,0.7,0.8,Positive
4, is your one-stop-shop for all your needs on generic drugs. We are a fully licensed online pharmacy,0.0,0.0,Neutral
5,i meet my russian wife here   )))),0.0,0.0,Neutral
0,: Amazing to see so many Democratic lawmakers write to House leadership asking that the misguided crypto tax provisions in th…,0.7,0.55,Positive
1,": Hiring on our team :
- Analyst (NFT, DeFi, L1, Scaling, DAOs)
- Community Manager

Apply! 👇💫
",0.0,0.0,Neutral
2,"Cool to see Chief Meme Officer become a thing.

_labs thx for educating the world about crypto 🙏 ",0.65,0.35,Positive
3,Enjoyed this interview! Thank you  ,0.7,0.625,Positive
4,": Are you in Ireland, Italy, Germany or Spain?

🥳 Good news! You can now use  Pay to buy crypto on Coinbase.",0.6000000000000001,0.875,Positive
5,": _ Inflation is the most regressive tax of all, yet is advocated by those who claim to be progressive",0.5,0.5,Positive
6,"…then make iOS or Android devices auto connect to these routers. 

A startup may be able to do the same (crypto incentives help) and I know several are working on it. But with Apple/Google controlling routers plus phones it would be killer combo.",0.25,0.16666666666666666,Positive
7,Bandwidth is so under utilized. You’re often within range of many WiFi routers that are password protected but not heavily used. Would be interesting if Apple or Google made a default setting on all routers to “share this internet connection with others while it’s not being used”,0.5,0.3666666666666667,Positive
8,"Enjoyed shooting this short video with the awesome team at  🙏

Also on YouTube here  ",0.6666666666666666,0.5,Positive
9,: ,0.0,0.0,Neutral
0,": There are now more MetaMask users than there ever will be Bitcoin 🦊

Thank you for trusting us to help you access and navigat…",0.5,0.5,Positive
1,Thank you to all the  members for your commitment and for joining me on this journey.,0.0,0.0,Neutral
2,"As our technology crosses into the mainstream, we are already seeing the transformation of how larger and larger cohorts of builders, users, artists, and enterprises live and work.",0.5,0.04545454545454545,Positive
3,"We are honored to partner with some of the top financial and strategic investors from both traditional and next generation economies to accelerate the realization of Web3. 

",0.3125,0.125,Positive
4,"The paradigm shift to a world running on decentralized protocols is in full gear. 

The pace of adoption is now so rapid that we’ve more than doubled many of our core KPIs since this deal was struck over the summer.",0.5166666666666667,0.45,Positive
5,"The ‘age of silos’ and ‘trusted third parties’ (h/t ) is giving way to the ‘age of community and collaboration’ enabled by an automated, objective, trust foundation and a decentralized finance ecosystem. ",0.05,0.0,Neutral
6,": 🔈The struggle's been real. 

We've partnered with  to improve the experience for our customers🚀

✨We've fixed connecti…",0.25,0.15000000000000002,Positive
7,The paradigm shift to a world running on decentralized protocols is in full gear. ,0.55,0.35,Positive
8,"Congrats to the engineers, product leads, designers, and marketers that helped _io reach 350k developers using their service.  

Bored of your Web2 job? Some of the top projects in the space got started on Infura for free. What's stopping you? ",0.7666666666666666,0.13333333333333333,Positive
9," _ Andrew, ConsenSys has thousands of tokens on our balance sheet.  ConsenSys is vigorously controlled by its employees, which includes me. And we are driving towards decentralization of several of our projects.  Wen $MASK?  Stay tuned.  Wen objective journalism, ser?",0.05,0.0,Neutral
0,: The battle for 60K is raging. Spartans HODL the line!,0.0,0.0,Neutral
1,: I swear  has one of the best company cultures you can ask for.  Come join the Mobile Team! DM if you are interested!…,0.3,1.0,Positive
2,Inflation on the rise in the UK. Bitcoin fixes this. ,0.0,0.0,Neutral
3,": Going Parabolic™ has just secured a bag of bitcoin at an average price of ~$59,375 per BTC. Keep Stacking MY PEOPLE!…",0.39999999999999997,-0.15,Negative
4,": When the student is ready, Bitcoin will appear.",0.5,0.2,Positive
5,: Woof! $AMC to accept $SHIB,0.0,0.0,Neutral
6,$AMC to accept $SHIB. Hooray! 🐶,0.0,0.0,Neutral
7,: Gemini x MATIC Twitter Live ,0.5,0.13636363636363635,Positive
8,": wagbtc (📜,📜)
 ",0.0,0.0,Neutral
9,Another trillion dollar advertisement for bitcoin ,0.0,0.0,Neutral
0,The battle for 60K is raging. Spartans HODL the line!,0.0,0.0,Neutral
1,"When the student is ready, Bitcoin will appear.",0.5,0.2,Positive
2,Woof! $AMC to accept $SHIB,0.0,0.0,Neutral
3,: $AMC to accept $SHIB. Hooray! 🐶,0.0,0.0,Neutral
4,: Gemini x MATIC Twitter Live ,0.5,0.13636363636363635,Positive
5,: Another trillion dollar advertisement for bitcoin ,0.0,0.0,Neutral
6,": wagbtc (📜,📜)
 ",0.0,0.0,Neutral
7,  Fantastic! Keep crushing it Fred — onward and upward!,0.9,0.5,Positive
8,"Dear SHIB army,  welcomes you. Let's go! 🚀

",0.0,0.0,Neutral
9,": Dear SHIB army,  has answered your call. To the moon! 🚀 ",0.0,0.0,Neutral
