Description,Ticker,Ticker2
Lunr,LUNRUSD,LUNR
Litecoin,LTCUSD,LTC
Stacks,STXUSD,STX
NEAR,NEARUSD,NEAR
Bitcoin,BTCUSD,BTC
Bitcoin,BTCUSD,BTC
WAXP,WAXPUSD,WAXP
PowerLedger,POWRUSD,POWR
TRON,TRXUSD,TRX
Stellar,XLMUSD,XLM
Polkadot,DOTUSD,DOT
Solana,SOLUSD,SOL
Avalanche,AVAXUSD,AVAX
Stratis,STRATUSD,STRAT
Ethereum,ETHUSD,ETH
ATLAS,ATLASUSD,ATLAS
Bitshares,BTSUSD,BTS
Shiba,SHIBUSD,SHIB
Litecoin,LTCUSD,LTC
TRON,TRXUSD,TRX
BTMC,BTMCUSD,BTMC
Ankr,ANKRUSD,ANKR
Polygon,MATICUSD,MATIC
Bitcoin,BTGUSD,BTG
Algorand,ALGOUSD,ALGO
Terra,LUNAUSD,LUNA
CUSD,CUSDUSD,CUSD
Dogecoin,DOGEUSD,DOGE
Grin,GRINUSD,GRIN
IoTeX,IOTXUSD,IOTX
SwissBorg,CHSBUSD,CHSB
Civic,CVCUSD,CVC
NEAR,NEARUSD,NEAR
ENS,ENSUSD,ENS
Dusk,DUSKUSD,DUSK
AdEx,ADXUSD,ADX
Steem,STEEMUSD,STEEM
Enjin,ENJUSD,ENJ
Cosmos,ATOMUSD,ATOM
UMA,UMAUSD,UMA
OmiseGO,OMGUSD,OMG
Uniswap,UNIUSD,UNI
TKO,TKOUSD,TKO
Aidos,ADKUSD,ADK
NKN,NKNUSD,NKN
Compound,COMPUSD,COMP
Ark,ARKUSD,ARK
Qtum,QTUMUSD,QTUM
OMG,OMGUSD,OMG
Decentraland,MANAUSD,MANA
DOT,DOTUSD,DOT
Harmony,ONEUSD,ONE
AVAX,AVAXUSD,AVAX
Binance,BNBUSD,BNB
QTUM,QTUMUSD,QTUM
Bitcoin,BTCUSD,BTC
Compound,COMPUSD,COMP
Dash,DASHUSD,DASH
DGB,DGBUSD,DGB
QUICK,QUICKUSD,QUICK
ACM,ACMUSD,ACM
district0x,DNTUSD,DNT
FRONT,FRONTUSD,FRONT
Yuan,YCCUSD,YCC
Stacks,STXUSD,STX
DEGO,DEGOUSD,DEGO
ALPHA,ALPHAUSD,ALPHA
Wrapped,WBTCUSD,WBTC
Secret,SCRTUSD,SCRT
RAMP,RAMPUSD,RAMP
OM,OMUSD,OM
C98,C98USD,C98
AGLD,AGLDUSD,AGLD
VIDT,VIDTUSD,VIDT
UNI,UNIUSD,UNI
Monero-Classic,XMCUSD,XMC
Dacxi,DACXIUSD,DACXI
1INCH,1INCHUSD,1INCH
NuCypher,NUUSD,NU
Tachyon,IPXUSD,IPX
Horizen,ZENUSD,ZEN
HIVE,HIVEUSD,HIVE
Moeda,MDAUSD,MDA
Orchid,OXTUSD,OXT
Pundi,PUNDIXUSD,PUNDIX
UNFI,UNFIUSD,UNFI
Cosmos,ATOMUSD,ATOM
ALICE,ALICEUSD,ALICE
Walton,WTCUSD,WTC
ICON,ICXUSD,ICX
ILV,ILVUSD,ILV
